,Performer,Venue,Address,Date,Genre
0,DakhaBrakha,Kinoteatr Rialto,Katowice,"Sunday, June 04, 2023",World Music
1,Evanescence,Klub Progresja,Warsaw,"Monday, June 05, 2023 | 07:00PM",Hard Rock / Heavy Metal
2,Pantera,Atlas Arena,Lodz,"Monday, June 05, 2023 | 03:00PM",Hard Rock / Heavy Metal
3,Ben Howard,Proxima,Warsaw,"Monday, June 05, 2023 | 09:00PM",Alternative Rock / Indie
4,Death Grips,Klub Stodoła,Warsaw,"Monday, June 05, 2023",Rap / Hip-Hop
5,The Lumineers,COS Torwar,Warsaw,"Tuesday, June 06, 2023 | 08:00PM",Alternative Rock / Indie
6,Rancid,Letnia Scena Progresji,Warsaw,"Tuesday, June 06, 2023 | 06:30PM",Punk / Garage Rock
7,Death Grips,Klub Stodoła,Warsaw,"Tuesday, June 06, 2023 | 06:00PM",Rap / Hip-Hop
8,Thumpasaurus,Hydrozagadka,Warsaw,"Tuesday, June 06, 2023 | 08:00PM",Soul / R&B
9,Amigo The Devil,Chmury,Warsaw,"Tuesday, June 06, 2023 | 07:00PM",Alternative Rock / Indie
10,Fever 333,Zaklęte Rewiry,Wroclaw,"Tuesday, June 06, 2023 | 08:00PM",Hard Rock / Heavy Metal
11,Scary Pockets,Teatr Palladium,Warsaw,"Wednesday, June 07, 2023 | 08:00PM",Soul / R&B
12,Incubus,Tauron Arena Krakow,Krakow,"Wednesday, June 07, 2023 | 07:00PM",Alternative Rock / Indie
13,Palaye Royale,Centrum Koncertowe A2,Wroclaw,"Wednesday, June 07, 2023 | 07:00PM",Pop Music / Soft Rock
14,Disney Princess: The Concert,Hala Stulecia,Wroclaw,"Friday, June 09, 2023 | 07:00PM",Pop Music / Soft Rock
15,Gogol Bordello,Klub Stodoła,Warsaw,"Friday, June 09, 2023 | 06:00PM",Punk / Garage Rock
16,Scorpions,Atlas Arena,Lodz,"Saturday, June 10, 2023 | 08:00PM",Hard Rock / Heavy Metal
17,Disney Princess: The Concert,Hala Stulecia,Wroclaw,"Saturday, June 10, 2023 | 06:00PM",Pop Music / Soft Rock
18,Billy Talent,Klub Progresja,Warsaw,"Saturday, June 10, 2023 | 06:00PM",Hard Rock / Heavy Metal
19,Gogol Bordello,B17,Poznan,"Saturday, June 10, 2023 | 06:00PM",Punk / Garage Rock
20,Disney Princess: The Concert,Hala Stulecia,Wroclaw,"Sunday, June 11, 2023 | 12:00PM",Pop Music / Soft Rock
21,Gogol Bordello,Klub Studio,Krakow,"Sunday, June 11, 2023 | 06:00PM",Punk / Garage Rock
22,Dirty Honey,Hybrydy,Warsaw,"Sunday, June 11, 2023",Jazz / Blues
23,The Menzingers,Hydrozagadka,Warsaw,"Sunday, June 11, 2023 | 07:30PM",Punk / Garage Rock
24,Deep Purple,Tauron Arena Krakow,Krakow,"Monday, June 12, 2023 | 03:00PM",Hard Rock / Heavy Metal
25,Anti-Flag,Kwadrat,Krakow,"Monday, June 12, 2023 | 07:00PM",Punk / Garage Rock
26,The War On Drugs,Klub Progresja,Warsaw,"Monday, June 12, 2023 | 08:00PM",Alternative Rock / Indie
27,Iron Maiden,Tauron Arena Krakow,Krakow,"Tuesday, June 13, 2023 | 06:00PM",Hard Rock / Heavy Metal
28,Airbourne,Klub Tama,Poznan,"Tuesday, June 13, 2023",Hard Rock / Heavy Metal
29,Anti-Flag,Hydrozagadka,Warsaw,"Tuesday, June 13, 2023 | 07:00PM",Punk / Garage Rock
30,Iron Maiden,Tauron Arena Krakow,Krakow,"Wednesday, June 14, 2023 | 06:00PM",Hard Rock / Heavy Metal
31,Billy Talent,B17,Poznan,"Wednesday, June 14, 2023 | 06:00PM",Hard Rock / Heavy Metal
32,Psychedelic Porn Crumpets,Klub Zaścianek,Krakow,"Wednesday, June 14, 2023 | 06:00PM",Progressive Rock 
33,Airbourne,Klub Progresja,Warsaw,"Wednesday, June 14, 2023",Hard Rock / Heavy Metal
34,Anti-Flag,Klub Drizzly Grizzly,Gdansk,"Wednesday, June 14, 2023 | 07:00PM",Punk / Garage Rock
35,Son Lux,Klub Stodoła,Warsaw,"Thursday, June 15, 2023 | 07:00PM",Alternative Rock / Indie
36,Psychedelic Porn Crumpets,Hydrozagadka,Warsaw,"Thursday, June 15, 2023 | 06:00PM",Progressive Rock 
37,Son Lux,"Klub B90, Stocznia Gdańska",Gdansk,"Friday, June 16, 2023 | 07:00PM",Alternative Rock / Indie
38,Disney Princess: The Concert,Ergo Arena,Gdansk,"Friday, June 16, 2023 | 07:00PM",Pop Music / Soft Rock
39,Disney Princess: The Concert,Ergo Arena,Gdansk,"Saturday, June 17, 2023 | 06:00PM",Pop Music / Soft Rock
40,Son Lux,Kwadrat,Krakow,"Saturday, June 17, 2023 | 07:00PM",Alternative Rock / Indie
41,Disney Princess: The Concert,Ergo Arena,Gdansk,"Sunday, June 18, 2023 | 12:00PM",Pop Music / Soft Rock
42,KISS,Tauron Arena Krakow,Krakow,"Monday, June 19, 2023 | 06:00PM",Hard Rock / Heavy Metal
43,Kevin Morby,Proxima,Warsaw,"Monday, June 19, 2023 | 08:00PM",Alternative Rock / Indie
44,Kevin Morby,Tama,Poznan,"Tuesday, June 20, 2023 | 08:00PM",Alternative Rock / Indie
45,Red Hot Chili Peppers,National Stadium,Warsaw,"Wednesday, June 21, 2023 | 05:00PM",Alternative Rock / Indie
46,Butcher Babies,Hydrozagadka,Warsaw,"Wednesday, June 21, 2023 | 08:00PM",Hard Rock / Heavy Metal
47,Scorpions,Ergo Arena,Gdansk,"Thursday, June 22, 2023 | 08:00PM",Hard Rock / Heavy Metal
48,Butcher Babies,Tama,Poznan,"Thursday, June 22, 2023 | 08:00PM",Hard Rock / Heavy Metal
49,James Bay,COS Torwar,Warsaw,"Thursday, June 22, 2023 | 06:00PM",Alternative Rock / Indie
50,Disney Princess: The Concert,Atlas Arena,Lodz,"Friday, June 23, 2023 | 07:00PM",Pop Music / Soft Rock
51,Pink,Travel-Packages,Krakow,"Saturday, June 24, 2023",Pop Music / Soft Rock
52,Disney Princess: The Concert,Atlas Arena,Lodz,"Saturday, June 24, 2023 | 06:00PM",Pop Music / Soft Rock
53,Kevin Morby,Kwadrat,Krakow,"Saturday, June 24, 2023 | 08:00PM",Alternative Rock / Indie
54,Disney Princess: The Concert,Atlas Arena,Lodz,"Sunday, June 25, 2023 | 12:00PM",Pop Music / Soft Rock
55,Foals,Letnia Scena Progresji,Warsaw,"Sunday, June 25, 2023 | 08:00PM",Pop Music / Soft Rock
56,Dance With The Dead,Klub Drizzly Grizzly,Gdansk,"Sunday, June 25, 2023 | 08:00PM",Electronic Music / Dance
57,Built To Spill,Niebo,Warsaw,"Monday, June 26, 2023 | 08:00PM",Alternative Rock / Indie
58,Beyoncé,National Stadium,Warsaw,"Tuesday, June 27, 2023 | 05:00PM",Soul / R&B
59,Built To Spill,Tama,Poznan,"Tuesday, June 27, 2023 | 08:00PM",Alternative Rock / Indie
60,Dead Poet Society,Hydrozagadka,Warsaw,"Tuesday, June 27, 2023 | 07:00PM",Alternative Rock / Indie
61,Kendrick Lamar,Gdynia-Kosakowo Airfield,Gdynia,"Wednesday, June 28, 2023 - Sat, July 01, 2023",Festival
62,Beyoncé,National Stadium,Warsaw,"Wednesday, June 28, 2023 | 05:00PM",Soul / R&B
63,Asking Alexandria,Klub Progresja,Warsaw,"Friday, June 30, 2023 | 08:00PM",Hard Rock / Heavy Metal
64,Harry Styles,National Stadium,Warsaw,"Sunday, July 02, 2023 | 05:00PM",Pop Music / Soft Rock
65,The Ghost Inside,Proxima,Warsaw,"Tuesday, July 04, 2023 | 08:00PM",Hard Rock / Heavy Metal
66,Lil Uzi Vert,Stadion Legii,Warsaw,"Saturday, July 08, 2023 | 07:00PM",Festival
67,Vintage Trouble,Proxima,Warsaw,"Sunday, July 09, 2023 | 08:00PM",Jazz / Blues
68,Night Lovell,Palladium,Warsaw,"Monday, July 10, 2023",Rap / Hip-Hop
69,Show Me the Body,Klub Zaścianek,Krakow,"Tuesday, July 11, 2023 | 08:00PM",Punk / Garage Rock
70,Night Lovell,Kwadrat,Krakow,"Tuesday, July 11, 2023",Rap / Hip-Hop
71,Ben Howard,Letnia Scena Progresji,Warsaw,"Wednesday, July 12, 2023 | 09:00PM",Alternative Rock / Indie
72,Show Me the Body,Klub Łącznik,Wroclaw,"Wednesday, July 12, 2023 | 08:00PM",Punk / Garage Rock
73,Zucchero,Tauron Arena Krakow,Krakow,"Thursday, July 13, 2023 | 08:00PM",Pop Music / Soft Rock
74,Show Me the Body,Hydrozagadka,Warsaw,"Thursday, July 13, 2023 | 08:00PM",Punk / Garage Rock
75,Airbourne,Kwadrat,Krakow,"Friday, July 14, 2023",Hard Rock / Heavy Metal
76,Tash Sultana,Letnia Scena Progresji,Warsaw,"Saturday, July 15, 2023 | 08:00PM",Alternative Rock / Indie
77,Pink,National Stadium,Warsaw,"Sunday, July 16, 2023 | 05:00PM",Pop Music / Soft Rock
78,Soulfly,Kwadrat,Krakow,"Sunday, July 16, 2023",Hard Rock / Heavy Metal
79,Sting,Tauron Arena Krakow,Krakow,"Thursday, July 20, 2023 | 06:00PM",Pop Music / Soft Rock
80,Morcheeba,Centrum Koncertowe A2,Wroclaw,"Friday, July 21, 2023 | 08:00PM",Electronic Music / Dance
81,Hollywood Vampires,Dolina Charlotty,Slupsk,"Saturday, July 22, 2023 | 10:00PM",Hard Rock / Heavy Metal
82,Megadeth,Hala Spodek,Katowice,"Sunday, July 23, 2023 | 06:00PM",Hard Rock / Heavy Metal
83,The Manhattan Transfer,Teatr Muzyczny im Danuty Baduszkowej,Gdynia,"Sunday, July 23, 2023 | 08:00PM",Jazz / Blues
84,Rammstein,Silesian Stadium,Chorzow,"Sunday, July 30, 2023 | 05:00PM",Hard Rock / Heavy Metal
85,Gregory Porter,NOSPR,Katowice,"Sunday, July 30, 2023 | 07:00PM",Jazz / Blues
86,Rammstein,Silesian Stadium,Chorzow,"Monday, July 31, 2023 | 05:00PM",Hard Rock / Heavy Metal
87,Dying Fetus,P23,Katowice,"Monday, July 31, 2023 | 08:00PM",Hard Rock / Heavy Metal
88,Dying Fetus,Proxima,Warsaw,"Tuesday, August 01, 2023 | 08:00PM",Hard Rock / Heavy Metal
89,Depeche Mode,National Stadium,Warsaw,"Wednesday, August 02, 2023 | 05:00PM",Electronic Music / Dance
90,Agnostic Front,Kwadrat,Krakow,"Thursday, August 03, 2023 | 07:00PM",Punk / Garage Rock
91,Depeche Mode,Tauron Arena Krakow,Krakow,"Friday, August 04, 2023 | 06:00PM",Electronic Music / Dance
92,Beartooth,Klub Studio,Krakow,"Monday, August 07, 2023 | 07:00PM",Hard Rock / Heavy Metal
93,Still Corners,Stary Klasztor - Sala Gotycka,Wroclaw,"Tuesday, August 08, 2023 | 08:00PM",Electronic Music / Dance
94,Archspire,Kwadrat,Krakow,"Tuesday, August 08, 2023 | 07:30PM",Hard Rock / Heavy Metal
95,The Weeknd,National Stadium,Warsaw,"Wednesday, August 09, 2023 | 05:00PM",Soul / R&B
96,Kasabian,Park Śląski,Chorzow,"Wednesday, August 09, 2023 - Sun, August 13, 2023",Festival
97,Still Corners,Tama,Poznan,"Wednesday, August 09, 2023 | 08:00PM",Electronic Music / Dance
98,Archspire,Hybrydy,Warsaw,"Wednesday, August 09, 2023 | 07:30PM",Hard Rock / Heavy Metal
99,Still Corners,Proxima,Warsaw,"Thursday, August 10, 2023 | 08:00PM",Electronic Music / Dance
